name,category,us,uk,jpn,aus,us_ngo,uk_ngo,aus_ngo,jpn_ngo,wwf,eng_news,jpn_news,us_cute,uk_cute,aus_cute,jpn_cute
monkey,2.915789474,0,0,0,0,1,1,0,1,11,9.996177331,3.706030058,2,2,4,1
moose,1,1,0,0,0,1,0,0,0,0,2.377117073,0.04028213,0,0,0,0
mouflon,3,0,0,0,0,0,0,0,0,0,0.051103368,0.012035944,0,0,0,0
mouse,2.449438202,1,0,0,1,0,0,0,1,8,5.254920385,1.906629498,5,3,2,0
muntjac,2.166666667,0,0,0,0,0,0,0,0,8,0.266538375,0.143852877,0,0,0,0
muskox,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
narwhal,2,0,0,0,0,0,0,0,0,3,0.156178949,0.003766061,0,0,0,0
numbat,4,0,0,0,1,0,0,0,0,0,0.294777766,0,0,0,0,0
nyala,4,0,0,0,0,0,0,0,0,0,0.119165349,0,0,0,0,0
okapi,4,0,0,0,0,0,0,0,0,4,0.363319045,0.126674639,0,0,0,0
olingo,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opossum,2.5,0,0,0,0,0,0,0,0,0,0.220151531,0.011235955,0,0,0,0
orangutan,5,0,0,0,0,2,2,4,1,22,2.879574464,0.849906212,0,0,0,0
oribi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oryx,2.5,0,0,0,0,0,0,0,0,5,0.732780115,0.089219685,0,0,0,0
otter,2.846153846,1,1,1,0,0,4,0,0,10,4.673144227,0.307583328,0,0,0,0
paca,1.5,0,0,0,0,0,0,0,0,0,0.026577009,0,0,0,0,0
pacarana,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panda,3.5,0,0,0,0,1,2,0,0,34,6.440448436,2.449985518,0,1,4,2
pangolin,3.75,0,0,0,0,0,0,0,0,17,0.565520094,0.01994641,0,0,0,0
pig,2.611111111,1,0,0,0,0,1,0,0,17,3.480602258,0.178385838,3,8,3,2
pika,1.8125,1,0,0,0,0,0,0,0,1,0.468682067,0.198788912,0,0,0,0
platypus,2,0,0,0,1,0,0,1,0,0,0.982906747,0.020763078,0,0,0,0
polar bear,3,1,0,0,0,1,0,0,0,38,8.11720804,0.841087289,0,2,1,0
porcupine,1.4,0,0,0,0,0,0,0,0,2,0.897991361,0.026952103,0,0,0,0
porpoise,2.6,1,1,1,0,3,3,0,0,32,2.014098578,0.680506835,0,0,0,0
possum,3,0,0,0,1,0,0,3,0,1,4.593491473,0,0,0,0,0
puku,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puma,1,1,0,0,0,1,0,0,0,2,1.305294377,0.010793872,0,0,0,0
quokka,3,0,0,0,1,0,0,0,0,0,0.094307943,0,0,0,0,0
quoll,2.571428571,0,0,0,1,0,0,4,1,0,0.940495608,0,0,0,0,0
rabbit,2.545454545,1,0,1,0,1,0,0,0,4,5.724131888,0.250752619,6,8,8,8
raccoon,2.333333333,1,0,0,0,0,1,0,0,0,1.66826695,0.754017176,1,0,0,0
rat,2.445692884,1,0,1,1,0,1,0,0,4,5.540156052,1.906629498,0,0,0,0
rat kangaroo,1,0,0,0,1,0,0,0,0,0,0.159888523,0,0,0,0,0
reedbuck,1,0,0,0,0,0,0,0,0,0,0.049145962,0,0,0,0,0
reindeer,3,1,0,0,0,0,0,0,0,2,0.951267674,0.078798399,0,0,0,0
rhino,4,0,0,0,0,3,11,4,1,166,11.52451386,0.499462828,0,0,0,0
ringtail,2.2,1,0,0,0,0,0,0,0,0,0.388182414,0,0,0,0,0
sable,1,0,0,1,0,0,0,0,0,1,0.231772182,0.01496662,0,0,0,0
saiga,5,0,0,0,0,0,1,0,0,2,0.17332918,0.01056079,0,0,0,0
saola,5,0,0,0,0,0,0,0,0,6,0.072424616,0,0,0,0,0
sea lion,2.75,1,0,1,1,1,0,0,0,1,2.679538525,0.280738577,0,0,0,0
seal,1.678571429,1,1,1,1,3,4,2,0,31,12.03346318,1.763351531,0,0,0,0
sengi,2,0,0,0,0,0,0,0,0,0,0.088578089,0,0,0,0,0
serow,1.833333333,0,0,1,0,0,0,0,0,3,0.042357274,1.780796693,0,0,0,0
sheep,1,1,0,0,0,6,0,0,0,5,3.829181874,0.07351112,0,3,2,0
shrew,2.5703125,1,1,1,0,0,0,0,0,4,0.638255048,0.020246043,0,0,0,0
sifaka,4.444444444,0,0,0,0,0,0,0,0,3,0.377766524,0.04645162,0,0,0,0
sitatunga,1,0,0,0,0,0,0,0,0,1,0.085094612,0,0,0,0,0
skunk,1.444444444,1,0,0,0,0,0,0,0,0,0.395513465,0,0,0,0,0
sloth,2.5,0,0,0,0,0,2,0,0,0,1.049335079,0.061378068,0,0,0,0
solenodon,4,0,0,0,0,0,0,0,0,0,0.013077594,0.010550996,0,0,0,0
squirrel,2.023809524,1,0,1,0,0,9,0,0,5,4.734379367,0.180588959,0,3,0,0
steenbok,1,0,0,0,0,0,0,0,0,0,0.0222046,0,0,0,0,0
suni,1,0,0,0,0,0,0,0,0,0,0.036734694,0,0,0,0,0
surili,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tahr,3.333333333,0,0,0,0,0,0,0,0,1,0.075961162,0,0,0,0,0
takin,3,0,0,0,0,0,0,0,0,3,0.078409185,0.031130379,0,0,0,0
tamaraw,5,0,0,0,0,0,0,0,0,1,0.013797635,0,0,0,0,0
tamarin,2.733333333,0,0,0,0,1,0,0,0,0,0.891652538,0.035221763,0,0,0,0
tanuki,1,0,0,1,0,0,0,0,0,0,0,1.657405468,0,0,0,0
tapir,3.75,0,0,0,0,0,0,1,0,6,0.766898074,0.101906559,0,0,0,0
tarsier,3.428571429,0,0,0,0,0,0,0,0,0,0.166878434,0.029277034,0,0,0,0
tasmanian devil,4,0,0,0,1,0,0,4,0,1,1.986070695,0.005463753,0,0,0,0
tenrec,1.666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tiger,4,0,0,0,0,4,7,3,0,262,17.2607481,0.533266125,3,2,1,0
topi,1,0,0,0,0,0,0,0,0,0,0.35217693,0,0,0,0,0
treeshrew,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triok,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuco-tuco,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viscacha,1,0,0,0,0,0,0,0,0,0,0,0.004822446,0,0,0,0
vole,1.933333333,1,1,1,0,0,0,0,0,1,1.828768943,0.014883841,0,0,0,0
vontsira,2.75,0,0,0,0,0,0,0,0,0,0.286304762,0,0,0,0,0
wallaby,2.64,0,0,0,1,0,0,0,0,1,2.998721873,0.04530574,0,0,0,0
walrus,3,1,0,0,0,0,0,0,0,9,1.232253606,0.018620062,0,0,0,0
waterbuck,1,0,0,0,0,0,0,0,0,0,0.247658007,0,0,0,0,0
weasel,1.8125,1,1,1,0,0,0,0,0,2,0.939514352,0.790086765,0,0,0,0
whale,2.214285714,1,1,1,1,7,6,4,2,117,20.31677028,1.940841303,0,1,0,0
wildebeest,1,0,0,0,0,0,0,0,0,0,1.699385929,0.007613916,0,1,0,0
wolf,3.2,1,0,0,0,8,1,0,1,23,8.448212523,0.851120944,0,0,0,0
wombat,3.5,0,0,0,1,0,0,3,0,0,1.579435812,0.053398059,0,0,0,0
yak,3,0,0,0,0,0,0,0,0,1,0.345392586,0,0,0,0,0
zebra,3.5,0,0,0,0,0,0,0,0,3,3.82457227,0.32503357,2,1,3,0
